x,y,z
-0.491681,0.839643,0.681444
-0.492014,0.872033,0.691835
-0.492013,0.843037,0.702557
-0.491986,0.841365,0.691895
0.532045,-0.407514,0.03509
0.534686,-0.408101,0.040319
0.5147,-0.408257,0.028702
-0.506111,0.062835,0.53319
-0.506325,0.060244,0.533351
-0.506531,0.057652,0.533506
-0.197184,-2.250542,0.194564
-0.196912,-2.250542,0.192539
-0.196451,-2.248549,0.190535
-0.19759,-2.249546,0.198718
-0.198003,-2.257515,0.196362
0.582849,1.269415,1.021842
0.522345,1.269415,1.062509
0.536048,1.26901,1.064078
0.020773,0.19654,0.145258
0.014848,0.195591,0.144128
0.014656,0.195307,0.143363
0.015445,0.195307,0.143518
0.03976,0.185012,0.163134
0.03998,0.182856,0.16307
0.038989,0.18525,0.163375
0.025301,0.221631,0.0836
0.026003,0.221909,0.082296
0.023796,0.222179,0.080459
0.02477,0.22047,0.081636
-0.504258,-0.38749,0.574687
-0.504913,-0.384273,0.575208
-0.50533,-0.381627,0.567194
0.005565,0.109621,0.174659
0.005552,0.109543,0.174472
0.005104,0.109696,0.174787
1.313481,-1.804304,0.739035
1.316548,-1.817559,0.724619
1.30906,-1.823691,0.721967
0.396696,-0.407638,0.021606
0.393939,-0.408198,0.02332
0.390568,-0.408053,0.025419
0.10289,-0.353063,0.408112
0.097673,-0.353116,0.408611
0.095749,-0.354921,0.406194
0.742921,-0.409739,0.317397
0.721013,-0.410153,0.315742
0.729754,-0.410884,0.3164
0.307193,0.358931,0.426933
0.302172,0.35422,0.420173
0.294212,0.358763,0.428811
0.295586,0.357196,0.429555
-0.460073,-0.660896,1.322918
-0.464806,-0.661443,1.335451
-0.476103,-0.660963,1.329723
-0.013681,0.148227,0.167709
-0.013242,0.145444,0.168425
-0.014208,0.148227,0.16785
-0.01494,0.149053,0.167484
-0.014647,0.147105,0.1677
-0.457823,-2.174245,0.490368
-0.461734,-2.179103,0.486007
-0.470281,-2.176763,0.490161
-0.269343,-0.002536,0.392339
-0.269331,-0.003919,0.392332
-0.268032,-0.00387,0.386962
-0.269568,-0.00264,0.41491
-0.270572,-0.002568,0.397733
0.331539,-0.410431,0.553845
0.312234,-0.411182,0.556689
0.298412,-0.411107,0.558404
0.309246,-0.411158,0.553998
-0.489315,0.814475,0.627665
-0.489195,0.802187,0.639366
-0.490083,0.808552,0.628416
-0.427076,1.265334,-0.171653
-0.430887,1.26568,-0.187401
-0.430839,1.262801,-0.175686
-0.435174,1.264896,-0.192114
-0.434595,1.260244,-0.179711
0.555037,0.323447,0.106262
0.556387,0.320979,0.105872
0.553675,0.325909,0.106655
0.195781,-0.397241,0.14668
0.198031,-0.399018,0.150242
0.199527,-0.398116,0.149355
0.194672,-0.397241,0.149887
0.193922,-0.397241,0.147838
0.193188,-0.398122,0.150787
0.191691,-0.398122,0.146741
0.266647,0.468574,0.40995
0.26643,0.463875,0.409825
0.265022,0.469396,0.413171
0.782672,1.278988,1.146411
0.721338,1.279311,1.156
0.736909,1.278538,1.156106
0.735725,1.278549,1.130653
-0.260316,1.177375,0.223204
-0.259981,1.176398,0.228672
-0.265396,1.176245,0.219615
0.023585,0.086395,0.163723
0.023648,0.085882,0.164688
0.023405,0.085694,0.164295
-0.092864,-0.44423,0.033328
-0.092358,-0.445117,0.035201
-0.094377,-0.441516,0.027732
-0.093874,-0.442429,0.029593
-0.093478,-0.44424,0.031051
-0.058796,-0.388366,-0.021028
-0.05892,-0.387295,-0.022715
-0.059045,-0.386216,-0.024398
-0.495163,0.84657,0.550445
-0.495517,0.831593,0.55061
-0.495191,0.816727,0.548215
-0.49664,0.825748,0.551232
-0.041864,-0.421929,0.219695
-0.041693,-0.41994,0.217728
